,review_comment_message,results
33,entrega rapida,Neautral
34,Cada vez que compro mais fico satisfeita parabéns pela honestidade com seus clientes 👏👏👏👏?,Positive
35,Tudo rápido e eficiente.,Positive
36,Creme maravilhoso e entrega super rápida,Positive
37,"Boa Noite

é lamentável, esta loja que tantas compras eu ja fiz e hoje não me da satisfação sequer de um relógio na importância de 50,00 reais ... um produto com defeito e até agora não me deu retor",Negative
38,A capa protetora não é exatamente o que eu esperava deixa a desejar no tipo material e na qualidade.,Positive
39,No site o produto parece ter melhor qualidade de material e acabamento.,Positive
40,"Recebi meu produto corretamente e dentro do prazo,verificando na caixa esta tudo correto,mas ainda não montei.Produto lindo,cor perfeita,amamos.
SUPER RECOMENDO.",Positive
41,Parabéns .Produto entregue bem antes do prazo.Atendeu às minhas necessidades.,Positive
42,"O pedido chegou antes do combinado, muito bom.",Positive
43,recebe apenas 01 peça do produto! estou precisando da 2 peças restante! ,Neautral
44,trabalho com profissionalismo das lojas lannister. indico com certeza,Positive
45,Tudo ok!,Positive
46,"Quando instalei o cartucho de tinta, a minha impressora indicou que o mesmo estava vazio, e apresentou a mensagem de erro ""!"" em cima do marcador de nível da tinta. Já solicitei a troca. ",Negative
47,quanto ao site não tenho o que questionar! sempre cumprem super o combinado ... recomendo sempre! mas o produto é fraco.. ,Negative
48,"Fiquei feliz com. O tecido ,mas acho que faltou o lençol de cima para ficar completo , espero que logo lancem.",Positive
49,"A compra ocorreu como o esperado, desde de o pedido até o recebimento do produto. Tudo bem certinho. ",Neautral
50,"otimo
",Positive
51,Tudo como anunciado....Ótimo produto...,Positive
52,Muito satisfeito.,Positive
53,Otimo produto porem caro demais !!! ,Positive
54,Tive um pós venda excelente através do Sr Renato,Positive
55,Muito bom,Positive
56,Produto chegou dentro do prazo. Veio conforme descrição e é excelente.,Positive
57,Muito bom mesmo!,Positive
58,"Apesar da demora em expedir a nota fiscal, depois de expedida a entrega foi rápida e o produto veio bem embalado. Recomendo.",Positive
59,"prazo foi estendido,porém entregue no prazo divulgado na propaganda. Cadeira conforme foto, vem para montar, mais fácil e linda",Positive
60,"Simplesmente lindo!!
Adorei o produto!!
Tamanho perfeito!!
Já comprei várias produtos, já faz anos que compro no baratheon !!",Positive
61,Boa compra.,Positive
62,Estou plenamente satisfeita com minha aquisição. E recomendo. A única coisa que não concordo é com o valor de frete. Autíssimo.,Positive
63,Entrega e produto perfeito!,Positive
64,"Produto perfeito, entrega rápida. Estou satisfeitíssima. 👏🏽",Positive
65,"Como sempre, excelente serviço.",Positive
66,"Muito bom o produto, melhor que esperava e foi entregue no prazo, gostei bastante. ",Positive
67,"Gostei muito , o objeto veio o mesmo comprado, já comprei em outras lojas e veio outra cor ñ Gostei! Com lannister tudo ok.",Positive
68,O produto não está nas medidas corretas indicadas na oferta. Terei q ligar para vcs para troca,Neautral
69,tudo certinho entrega no prazo ótimo.,Positive
70,Ótimo perfume. Fragrância maravilhosa. Recomendo,Positive
71,O produto superou minha expectativa. O prazo de entrega foi antecipado em 7 dias. Já instalei e ficou show. ,Neautral
72,SOLICITEI DEVOLUÇÃO. PRODUTO COM DEFEITO,Neautral
73,Loja em si é boa pena a americana nao da suporte ao cliente ,Negative
74,Acho que o produto deveria ter um prazo de validade maior.,Neautral
75,"Entrega antes do prazo, recomendo essa loja.",Positive
76,"agradeço muito, pois recebi o produto correto conforme encontrado no site, a entrega foi super rápida. fiquei muito satisfeito e com certeza vou recomentar para os amigo.",Positive
77,bom,Positive
78,muito bom.super recomendo.entrega sempre certa.,Positive
79,Ainda nao instalei mais gostei muito,Positive
80,Bom produto. Entrega rápida. Recomendo,Positive
81,muito bom,Positive
82,Ótima rápida na entrega OBRIGADO ,Positive
83,Penso que deveria haver um modo de se comunicar com a empresa caso acontecesse de encomenda não ser entregue ,Neautral
84,O produto chegou antes do prazo. ,Neautral
85,PRODUTO JA CHEGOU COM DEFEITO NÃO FUCIONOU CONFORME MINHA NECESSIDADE DE USO. INFELIZMENTE ULTIMA COMPRA MINHA TOTALMENTE INSATISFEITO.,Negative
86,"Recomendo esta loja entrega direitinho
",Positive
87,Produto de ótima qualidade,Positive
88,Excelente,Positive
89,"bom , foi o que esperava.",Positive
90,Relógio lindo entrega antes do prazo,Positive
91,Veio conforme o anunciado simples mais bonita. ,Positive
92,Ainda não recebi o produto...,Neautral
93,Comprei 2 produtos so mandaram 1 e n mim deram nenhuma justificativa ! ,Negative
94,Só imaginei que fosse maior a boneca. Mais é legal ,Positive
95,Muito bom.,Positive
96,Produto bom e entregue antes do previsto.,Positive
97,"Ainda não usei em nenhuma viagem, mas parece ser muito boa.",Positive
98,Adoro comprar nas lojas lannister,Positive
99,Recebi o produto que eh falso quero meu dinheiro de volta ,Negative
